  db | 07/20/2026 | 11:36:27 | Cooling Device #0x82 | Device Absent | Asserted
  dc | 07/20/2026 | 11:36:27 | Cooling Device #0x83 | Device Absent | Asserted
  dd | 07/20/2026 | 11:36:27 | Cooling Device #0x84 | Device Absent | Asserted
  de | 07/20/2026 | 11:36:43 | Cable / Interconnect #0x66 | Config Error | Asserted
  df | 07/20/2026 | 11:37:35 | Memory #0x3a | Presence Detected | Asserted
  e0 | 07/20/2026 | 11:38:36 | Management Subsys Health #0x61 | Sensor access degraded or unavailable | Asserted
  e1 | 07/20/2026 | 14:11:38 | System Boot Initiated #0x60 | System Restart | Asserted
  e2 | 07/27/2026 | 18:05:45 | System Boot Initiated #0x60 | System Restart | Asserted
  e3 | 08/05/2026 | 15:45:36 | System Boot Initiated #0x60 | System Restart | Asserted
  e4 | 08/05/2026 | 15:45:36 | System ACPI Power State #0x5b | S0/G0: working | Asserted
  e5 | 08/05/2026 | 15:45:38 | Processor #0x36 | Presence detected | Asserted
  e6 | 08/05/2026 | 15:45:38 | Processor #0x37 | Presence detected | Asserted
  e7 | 08/05/2026 | 15:45:39 | Microcontroller #0x70 | Device Enabled | Asserted
  e8 | 08/05/2026 | 15:45:39 | Power Supply #0x79 | Presence detected | Asserted
  e9 | 08/05/2026 | 15:45:39 | Cooling Device #0x81 | Device Absent | Asserted
  ea | 08/05/2026 | 15:45:39 | Cooling Device #0x82 | Device Absent | Asserted
  eb | 08/05/2026 | 15:45:39 | Cooling Device #0x83 | Device Absent | Asserted
  ec | 08/05/2026 | 15:45:39 | Cooling Device #0x84 | Device Absent | Asserted
  ed | 08/05/2026 | 15:45:57 | Cable / Interconnect #0x66 | Config Error | Asserted
  ee | 08/05/2026 | 15:46:11 | Memory #0x3a | Presence Detected | Asserted
  ef | 08/05/2026 | 15:47:49 | Management Subsys Health #0x61 | Sensor access degraded or unavailable | Asserted
  f0 | 08/06/2026 | 20:24:58 | System Boot Initiated #0x60 | System Restart | Asserted
  f1 | 08/06/2026 | 20:24:58 | System ACPI Power State #0x5b | S0/G0: working | Asserted
  f2 | 08/06/2026 | 20:25:00 | Processor #0x36 | Presence detected | Asserted
  f3 | 08/06/2026 | 20:25:01 | Processor #0x37 | Presence detected | Asserted
  f4 | 08/06/2026 | 20:25:01 | Microcontroller #0x70 | Device Enabled | Asserted
  f5 | 08/06/2026 | 20:25:01 | Power Supply #0x79 | Presence detected | Asserted
  f6 | 08/06/2026 | 20:25:01 | Cooling Device #0x81 | Device Absent | Asserted
  f7 | 08/06/2026 | 20:25:01 | Cooling Device #0x82 | Device Absent | Asserted
  f8 | 08/06/2026 | 20:25:01 | Cooling Device #0x83 | Device Absent | Asserted
  f9 | 08/06/2026 | 20:25:01 | Cooling Device #0x84 | Device Absent | Asserted
  fa | 08/06/2026 | 20:25:19 | Cable / Interconnect #0x66 | Config Error | Asserted
  fb | 08/06/2026 | 20:25:36 | Memory #0x3a | Presence Detected | Asserted
  fc | 08/06/2026 | 20:27:13 | Management Subsys Health #0x61 | Sensor access degraded or unavailable | Asserted
  fd | 08/06/2026 | 20:29:30 | System ACPI Power State #0x5b | S4/S5: soft-off | Asserted
  fe | 08/06/2026 | 20:29:30 | Power Supply #0x63 | Failure detected | Asserted
  ff | 08/06/2026 | 20:38:52 | System ACPI Power State #0x5b | S0/G0: working | Asserted
 100 | 08/06/2026 | 20:38:52 | System Boot Initiated #0x60 | System Restart | Asserted
 101 | 08/06/2026 | 20:38:55 | Processor #0x36 | Presence detected | Asserted
 102 | 08/06/2026 | 20:38:55 | Processor #0x37 | Presence detected | Asserted
 103 | 08/06/2026 | 20:38:55 | Microcontroller #0x70 | Device Enabled | Asserted
 104 | 08/06/2026 | 20:38:55 | Power Supply #0x79 | Presence detected | Asserted
 105 | 08/06/2026 | 20:38:55 | Cooling Device #0x81 | Device Absent | Asserted
 106 | 08/06/2026 | 20:38:55 | Cooling Device #0x82 | Device Absent | Asserted
 107 | 08/06/2026 | 20:38:55 | Cooling Device #0x83 | Device Absent | Asserted
 108 | 08/06/2026 | 20:38:55 | Cooling Device #0x84 | Device Absent | Asserted
 109 | 08/06/2026 | 20:39:13 | Cable / Interconnect #0x66 | Config Error | Asserted
 10a | 08/06/2026 | 20:39:31 | Memory #0x3a | Presence Detected | Asserted
 10b | 08/06/2026 | 20:41:06 | Management Subsys Health #0x61 | Sensor access degraded or unavailable | Asserted
 10c | 08/06/2026 | 20:47:20 | System ACPI Power State #0x5b | S4/S5: soft-off | Asserted
 10d | 08/06/2026 | 20:47:20 | Power Supply #0x63 | Failure detected | Asserted
 10e | 08/06/2026 | 20:49:46 | System Boot Initiated #0x60 | System Restart | Asserted
 10f | 08/06/2026 | 20:49:46 | System ACPI Power State #0x5b | S0/G0: working | Asserted
 110 | 08/06/2026 | 20:49:48 | Processor #0x36 | Presence detected | Asserted
 111 | 08/06/2026 | 20:49:48 | Processor #0x37 | Presence detected | Asserted
 112 | 08/06/2026 | 20:49:48 | Microcontroller #0x70 | Device Enabled | Asserted
 113 | 08/06/2026 | 20:49:49 | Power Supply #0x79 | Presence detected | Asserted
 114 | 08/06/2026 | 20:49:49 | Cooling Device #0x81 | Device Absent | Asserted
 115 | 08/06/2026 | 20:49:49 | Cooling Device #0x82 | Device Absent | Asserted
 116 | 08/06/2026 | 20:49:49 | Cooling Device #0x83 | Device Absent | Asserted
 117 | 08/06/2026 | 20:49:49 | Cooling Device #0x84 | Device Absent | Asserted
 118 | 08/06/2026 | 20:50:09 | Cable / Interconnect #0x66 | Config Error | Asserted
 119 | 08/06/2026 | 20:50:26 | Memory #0x3a | Presence Detected | Asserted
 11a | 08/06/2026 | 20:52:03 | Management Subsys Health #0x61 | Sensor access degraded or unavailable | Asserted
 11b | 08/06/2026 | 21:02:06 | System ACPI Power State #0x5b | S4/S5: soft-off | Asserted
 11c | 08/06/2026 | 21:02:07 | Power Supply #0x63 | Failure detected | Asserted
 11d | 08/06/2026 | 21:11:44 | System Boot Initiated #0x60 | System Restart | Asserted
 11e | 08/06/2026 | 21:11:44 | System ACPI Power State #0x5b | S0/G0: working | Asserted
 11f | 08/06/2026 | 21:11:46 | Add-in Card #0x68 | Device Present | Asserted
 120 | 08/06/2026 | 21:11:46 | Processor #0x36 | Presence detected | Asserted
 121 | 08/06/2026 | 21:11:46 | Processor #0x37 | Presence detected | Asserted
 122 | 08/06/2026 | 21:11:47 | Microcontroller #0x70 | Device Enabled | Asserted
 123 | 08/06/2026 | 21:11:47 | Power Supply #0x79 | Presence detected | Asserted
 124 | 08/06/2026 | 21:11:47 | Cooling Device #0x81 | Device Absent | Asserted
 125 | 08/06/2026 | 21:11:47 | Cooling Device #0x82 | Device Absent | Asserted
 126 | 08/06/2026 | 21:11:47 | Cooling Device #0x83 | Device Absent | Asserted
 127 | 08/06/2026 | 21:11:47 | Cooling Device #0x84 | Device Absent | Asserted
 128 | 08/06/2026 | 21:12:05 | Cable / Interconnect #0x66 | Config Error | Asserted
 129 | 08/06/2026 | 21:12:38 | Memory #0x3a | Presence Detected | Asserted
 12a | 08/06/2026 | 21:13:59 | Management Subsys Health #0x61 | Sensor access degraded or unavailable | Asserted
 12b | 08/06/2026 | 21:23:53 | Memory #0x3a | Presence Detected | Deasserted
 12c | 08/06/2026 | 21:28:56 | System Boot Initiated #0x60 | System Restart | Asserted
 12d | 08/06/2026 | 21:28:56 | System ACPI Power State #0x5c | S0/G0: working | Asserted
 12e | 08/06/2026 | 21:28:58 | Add-in Card #0x6d | Device Present | Asserted
 12f | 08/06/2026 | 21:28:58 | Processor #0x37 | Presence detected | Asserted
 130 | 08/06/2026 | 21:28:58 | Processor #0x38 | Presence detected | Asserted
 131 | 08/06/2026 | 21:28:58 | Microcontroller #0x71 | Device Enabled | Asserted
 132 | 08/06/2026 | 21:28:58 | Power Supply #0x7c | Presence detected | Asserted
 133 | 08/06/2026 | 21:28:58 | Cooling Device #0x84 | Device Absent | Asserted
 134 | 08/06/2026 | 21:28:58 | Cooling Device #0x85 | Device Absent | Asserted
 135 | 08/06/2026 | 21:28:59 | Cooling Device #0x86 | Device Absent | Asserted
 136 | 08/06/2026 | 21:28:59 | Cooling Device #0x87 | Device Absent | Asserted
 137 | 08/06/2026 | 21:29:17 | Cable / Interconnect #0x67 | Config Error | Asserted
 138 | 08/06/2026 | 21:29:34 | Memory #0x3b | Presence Detected | Asserted
 139 | 08/06/2026 | 21:31:12 | Management Subsys Health #0x62 | Sensor access degraded or unavailable | Asserted
 13a | 08/06/2026 | 21:37:07 | System Boot Initiated #0x60 | System Restart | Asserted
